Number	Name (English)	IPA (English)	Evolves from (English)	Name (Japanese)	Evolves from (Japanese)	Name (French)	Evolves from (French)	Name (Spanish)	Evolves from (Spanish)	Name (German)	Evolves from (German)	Name (Italian)	Evolves from (Italian)	Name (Korean)	Evolves from (Korean)	Name (Mandarin)	Evolves from (Mandarin)	Evolves into (English)	Total evolutionary stages	Evolutionary stage code	Baby	Legendary	Types	Weight (lb)	Weight (kg)	Height (in)	Height (m)	Percentage male	Percentage female	HP	Attack	Defense	Special Attack	Special Defense	Speed	Total Power	Bulbapedia URL
0223	Remoraid	ˈɹɛməɹeɪd	n/a	teppouo	n/a	Rémoraid	n/a	Remoraid	n/a	Remoraid	n/a	Remoraid	n/a	Chongeo	n/a	Tiěpàoyú	n/a	{'Octillery'}	2	2a	False	False	[('Water',)]	26.5	12.0	24	0.6	50.0	50.0	35	65	35	65	35	65	300	"/wiki/Remoraid_(Pok%C3%A9mon)"
0224	Octillery	ɑːkˈtɪlɚiː	Remoraid	okutan	teppouo	Octillery	Rémoraid	Octillery	Remoraid	Octillery	Remoraid	Octillery	Remoraid	Daepomuno	Chongeo	Zhānyútǒng	Tiěpàoyú	n/a	2	2b	False	False	[('Water',)]	62.8	28.5	35	0.9	50.0	50.0	75	105	75	105	75	45	480	"/wiki/Octillery_(Pok%C3%A9mon)"
0225	Delibird	ˈdɛliːbɚd	n/a	deribaado	n/a	Cadoizo	n/a	Delibird	n/a	Botogel	n/a	Delibird	n/a	Delibird	n/a	Xìnshǐniǎo	n/a	n/a	1	1a	False	False	[('Ice', 'Flying')]	35.3	16.0	0	0.9	50.0	50.0	45	55	45	65	45	75	330	"/wiki/Delibird_(Pok%C3%A9mon)"
0226	Mantine	ˈmæntiːn	Mantyke	mantain	tamanta	Démanta	Babimanta	Mantine	Mantyke	Mantax	Mantirps	Mantine	Mantyke	Mantine	Tamanta	Jùchìfēiyú	Xiǎoqiúfēiyú	n/a	2	2b	False	False	[('Water', 'Flying')]	485.0	220.0	83	2.1	50.0	50.0	65	40	70	80	140	70	465	"/wiki/Mantine_(Pok%C3%A9mon)"
0227	Skarmory	ˈskɑːɹmɚiː	n/a	eaamudo	n/a	Airmure	n/a	Skarmory	n/a	Panzaeron	n/a	Skarmory	n/a	Mujangjo	n/a	Kuījiǎniǎo	n/a	n/a	1	1a	False	False	[('Steel', 'Flying')]	111.3	50.5	67	1.7	50.0	50.0	65	80	140	40	70	70	465	"/wiki/Skarmory_(Pok%C3%A9mon)"
0228	Houndour	ˈhaʊndaʊɚ	n/a	derubiru	n/a	Malosse	n/a	Houndour	n/a	Hunduster	n/a	Houndour	n/a	Delvil	n/a	Dàilǔbǐ	n/a	{'Houndoom'}	2	2a	False	False	[('Dark', 'Fire')]	23.8	10.8	0	0.6	50.0	50.0	45	60	30	80	50	65	330	"/wiki/Houndour_(Pok%C3%A9mon)"
0229	Houndoom	ˈhaʊnduːm	Houndour	herugaa	derubiru	Démolosse	Malosse	Houndoom	Houndour	Hundemon	Hunduster	Houndoom	Houndour	Helga	Delvil	Hēilǔjiā	Dàilǔbǐ	n/a	2	2b	False	False	[('Dark', 'Fire')]	77.2	35.0	55	1.4	50.0	50.0	75	90	50	110	80	95	500	"/wiki/Houndoom_(Pok%C3%A9mon)"
0230	Kingdra	ˈkɪŋdɹə	Seadra	kingudora	shiidora	Hyporoi	Hypocéan	Kingdra	Seadra	Seedraking	Seemon	Kingdra	Seadra	Kingdra	Seadra	Cìlóngwáng	Hǎicìlóng	n/a	3	3c	False	False	[('Water', 'Dragon')]	335.1	152.0	0	1.8	50.0	50.0	75	95	95	95	95	85	540	"/wiki/Kingdra_(Pok%C3%A9mon)"
0231	Phanpy	ˈfænpiː	n/a	gomazou	n/a	Phanpy	n/a	Phanpy	n/a	Phanpy	n/a	Phanpy	n/a	Kokori	n/a	Xiǎoxiǎoxiàng	n/a	{'Donphan'}	2	2a	False	False	[('Ground',)]	73.9	33.5	20	0.5	50.0	50.0	90	60	60	40	40	40	330	"/wiki/Phanpy_(Pok%C3%A9mon)"
0232	Donphan	ˈdɑːnfæn	Phanpy	donfu	gomazou	Donphan	Phanpy	Donphan	Phanpy	Donphan	Phanpy	Donphan	Phanpy	Korigap	Kokori	Dùnjiǎ	Xiǎoxiǎoxiàng	n/a	2	2b	False	False	[('Ground',)]	264.6	120.0	0	1.1	50.0	50.0	90	120	120	60	60	50	500	"/wiki/Donphan_(Pok%C3%A9mon)"
0233	Porygon2	ˌpɔːɹiːɡɑːnˈtuː	Porygon	porigon	porigon	Porygon2	Porygon	Porygon2	Porygon	Porygon2	Porygon	Porygon2	Porygon	Porygon2	Porygon	Duōbiānshòu-II	Duōbiānshòu	{'Porygon-Z'}	3	3b	False	False	[('Normal',)]	71.7	32.5	0	0.6	???	???	85	80	90	105	95	60	515	"/wiki/Porygon2_(Pok%C3%A9mon)"
0234	Stantler	ˈstæntlɚ	n/a	odoshishi	n/a	Cerfrousse	n/a	Stantler	n/a	Damhirplex	n/a	Stantler	n/a	Noraki	n/a	Jīngjiǎolù	n/a	{'Wyrdeer'}	2	2a	False	False	[('Normal',)]	157.0	71.2	55	1.4	50.0	50.0	73	95	62	85	65	85	465	"/wiki/Stantler_(Pok%C3%A9mon)"
0235	Smeargle	ˈsmɪɹɡəl	n/a	dooburu	n/a	Queulorior	n/a	Smeargle	n/a	Farbeagle	n/a	Smeargle	n/a	Rubeudo	n/a	Tútúquǎn	n/a	n/a	1	1a	False	False	[('Normal',)]	127.9	58.0	47	1.2	50.0	50.0	55	20	35	20	45	75	250	"/wiki/Smeargle_(Pok%C3%A9mon)"
0236	Tyrogue	ˈtaɪɹoʊɡ	n/a	barukii	n/a	Debugant	n/a	Tyrogue	n/a	Rabauz	n/a	Tyrogue	n/a	Baeruki	n/a	Wúwèixiǎozi	n/a	{'Hitmontop', 'Hitmonchan', 'Hitmonlee'}	2	2a	True	False	[('Fighting',)]	46.3	21.0	28	0.7	100.0	0.0	35	35	35	35	35	35	210	"/wiki/Tyrogue_(Pok%C3%A9mon)"
0237	Hitmontop	ˈhɪtmɑːntɑːp	Tyrogue	kapoeraa	barukii	Kapoera	Debugant	Hitmontop	Tyrogue	Kapoera	Rabauz	Hitmontop	Tyrogue	Kapoera	Baeruki	Zhànwǔláng	Wúwèixiǎozi	n/a	2	2b	False	False	[('Fighting',)]	105.8	48.0	55	1.4	100.0	0.0	50	95	95	35	110	70	455	"/wiki/Hitmontop_(Pok%C3%A9mon)"
0238	Smoochum	ˈsmuːtʃəm	n/a	muchuuru	n/a	Lippouti	n/a	Smoochum	n/a	Kussilla	n/a	Smoochum	n/a	Ppoppora	n/a	Míchúnwá	n/a	{'Jynx'}	2	2a	True	False	[('Ice', 'Psychic')]	13.2	6.0	16	0.4	0.0	100.0	45	30	15	85	65	65	305	"/wiki/Smoochum_(Pok%C3%A9mon)"
0239	Elekid	ˈɛləkɪd	n/a	erekiddo	n/a	Élekid	n/a	Elekid	n/a	Elekid	n/a	Elekid	n/a	Elekid	n/a	Diànjíguài / Diànjīguài	n/a	{'Electabuzz'}	3	3a	True	False	[('Electric',)]	51.8	23.5	24	0.6	75.0	25.0	45	63	37	65	55	95	360	"/wiki/Elekid_(Pok%C3%A9mon)"
0240	Magby	ˈmægbiː	n/a	bubii	n/a	Magby	n/a	Magby	n/a	Magby	n/a	Magby	n/a	Magby	n/a	Yāzuǐbǎobao	n/a	{'Magmar'}	3	3a	True	False	[('Fire',)]	47.2	21.4	28	0.7	75.0	25.0	45	75	37	70	55	83	365	"/wiki/Magby_(Pok%C3%A9mon)"
0241	Miltank	ˈmɪltæŋk	n/a	mirutanku	n/a	Écrémeuh	n/a	Miltank	n/a	Miltank	n/a	Miltank	n/a	Miltaengkeu	n/a	Dànǎiguàn	n/a	n/a	1	1a	False	False	[('Normal',)]	166.4	75.5	47	1.2	0.0	100.0	95	80	105	40	70	100	490	"/wiki/Miltank_(Pok%C3%A9mon)"
0242	Blissey	ˈblɪsiː	Chansey	hapinasu	rakkii	Leuphorie	Leveinard	Blissey	Chansey	Heiteira	Chaneira	Blissey	Chansey	Happynus	Lucki	Xìngfúdàn	Jílìdàn	n/a	3	3c	False	False	[('Normal',)]	103.2	46.8	59	1.5	0.0	100.0	255	10	10	75	135	55	540	"/wiki/Blissey_(Pok%C3%A9mon)"
0243	Raikou	ˈɹaɪkoʊ	n/a	raikou	n/a	Raikou	n/a	Raikou	n/a	Raikou	n/a	Raikou	n/a	Raikou	n/a	Léigōng	n/a	n/a	1	1a	False	True	[('Electric',)]	392.4	178.0	75	1.9	???	???	90	85	75	115	100	115	580	"/wiki/Raikou_(Pok%C3%A9mon)"
0244	Entei	ˈɛnteɪ	n/a	entei	n/a	Entei	n/a	Entei	n/a	Entei	n/a	Entei	n/a	Entei	n/a	Yándì	n/a	n/a	1	1a	False	True	[('Fire',)]	436.5	198.0	83	2.1	???	???	115	115	85	90	75	100	580	"/wiki/Entei_(Pok%C3%A9mon)"
0245	Suicune	ˈswiːkuːn	n/a	suikun	n/a	Suicune	n/a	Suicune	n/a	Suicune	n/a	Suicune	n/a	Suicune	n/a	Shuǐjūn	n/a	n/a	1	1a	False	True	[('Water',)]	412.3	187.0	79	2.0	???	???	100	75	115	90	115	85	580	"/wiki/Suicune_(Pok%C3%A9mon)"
0246	Larvitar	ˈlɑːɹvətɑːɹ	n/a	yoogirasu	n/a	Embrylex	n/a	Larvitar	n/a	Larvitar	n/a	Larvitar	n/a	Aebeoras	n/a	Yòujīlāsī	n/a	{'Pupitar'}	3	3a	False	False	[('Rock', 'Ground')]	158.7	72.0	24	0.6	50.0	50.0	50	64	50	45	50	41	300	"/wiki/Larvitar_(Pok%C3%A9mon)"
0247	Pupitar	ˈpjuːpətɑːɹ	Larvitar	sanagirasu	yoogirasu	Ymphect	Embrylex	Pupitar	Larvitar	Pupitar	Larvitar	Pupitar	Larvitar	Degiras	Aebeoras	Shājīlāsī	Yòujīlāsī	{'Tyranitar'}	3	3b	False	False	[('Rock', 'Ground')]	335.1	152.0	0	1.2	50.0	50.0	70	84	70	65	70	51	410	"/wiki/Pupitar_(Pok%C3%A9mon)"
0248	Tyranitar	taɪˈɹænətɑːɹ	Pupitar	bangirasu	sanagirasu	Tyranocif	Ymphect	Tyranitar	Pupitar	Despotar	Pupitar	Tyranitar	Pupitar	Magiras	Degiras	Bānjīlāsī	Shājīlāsī	n/a	3	3c	False	False	[('Rock', 'Dark')]	445.3	202.0	79	2.0	50.0	50.0	100	134	110	95	100	61	600	"/wiki/Tyranitar_(Pok%C3%A9mon)"
0249	Lugia	ˈluːɡiːə	n/a	rugia	n/a	Lugia	n/a	Lugia	n/a	Lugia	n/a	Lugia	n/a	Rugia	n/a	Luòqíyǎ	n/a	n/a	1	1a	False	True	[('Psychic', 'Flying')]	476.2	216.0	205	5.2	???	???	106	90	130	90	154	110	680	"/wiki/Lugia_(Pok%C3%A9mon)"
0250	Ho-Oh	ˈhoʊʔoʊ	n/a	houou	n/a	Ho-Oh	n/a	Ho-Oh	n/a	Ho-Oh	n/a	Ho-Oh	n/a	Chilsaeckjo	n/a	Fèngwáng	n/a	n/a	1	1a	False	True	[('Fire', 'Flying')]	438.7	199.0	150	3.8	???	???	106	130	90	110	154	90	680	"/wiki/Ho-Oh_(Pok%C3%A9mon)"
0251	Celebi	ˈsɛləbiː	n/a	serebii	n/a	Celebi	n/a	Celebi	n/a	Celebi	n/a	Celebi	n/a	Celebi	n/a	Shílābǐ	n/a	n/a	1	1a	False	False	[('Psychic', 'Grass')]	11.0	5.0	24	0.6	???	???	100	100	100	100	100	100	600	"/wiki/Celebi_(Pok%C3%A9mon)"
0252	Treecko	ˈtɹiːkoʊ	n/a	kimori	n/a	Arcko	n/a	Treecko	n/a	Geckarbor	n/a	Treecko	n/a	Namujigi	n/a	Mùshǒugōng	n/a	{'Grovyle'}	3	3a	False	False	[('Grass',)]	11.0	5.0	20	0.5	87.5	12.5	40	45	35	65	55	70	310	"/wiki/Treecko_(Pok%C3%A9mon)"
0253	Grovyle	ˈɡɹoʊvaɪl	Treecko	juputoru	kimori	Massko	Arcko	Grovyle	Treecko	Reptain	Geckarbor	Grovyle	Treecko	Namudori	Namujigi	Sēnlínxīyì	Mùshǒugōng	{'Sceptile'}	3	3b	False	False	[('Grass',)]	47.6	21.6	35	0.9	87.5	12.5	50	65	45	85	65	95	405	"/wiki/Grovyle_(Pok%C3%A9mon)"
0254	Sceptile	ˈsɛptaɪl	Grovyle	jukain	juputoru	Jungko	Massko	Sceptile	Grovyle	Gewaldro	Reptain	Sceptile	Grovyle	Namuking	Namudori	Xīyìwáng	Sēnlínxīyì	n/a	3	3c	False	False	[('Grass',)]	115.1	52.2	67	1.7	87.5	12.5	70	85	65	105	85	120	530	"/wiki/Sceptile_(Pok%C3%A9mon)"
0255	Torchic	ˈtɔːɹtʃɪk	n/a	achamo	n/a	Poussifeu	n/a	Torchic	n/a	Flemmli	n/a	Torchic	n/a	Achamo	n/a	Huǒzhìjī	n/a	{'Combusken'}	3	3a	False	False	[('Fire',)]	5.5	2.5	16	0.4	87.5	12.5	45	60	40	70	50	45	310	"/wiki/Torchic_(Pok%C3%A9mon)"
0256	Combusken	kəmˈbʌskən	Torchic	wakashamo	achamo	Galifeu	Poussifeu	Combusken	Torchic	Jungglut	Flemmli	Combusken	Torchic	Youngchiko	Achamo	Lìzhuàngjī	Huǒzhìjī	{'Blaziken'}	3	3b	False	False	[('Fire', 'Fighting')]	43.0	19.5	35	0.9	87.5	12.5	60	85	60	85	60	55	405	"/wiki/Combusken_(Pok%C3%A9mon)"
0257	Blaziken	ˈbleɪzəkən	Combusken	bashaamo	wakashamo	Braségali	Galifeu	Blaziken	Combusken	Lohgock	Jungglut	Blaziken	Combusken	Bunchiko	Youngchiko	Huǒyànjī	Lìzhuàngjī	n/a	3	3c	False	False	[('Fire', 'Fighting')]	114.6	52.0	75	1.9	87.5	12.5	80	120	70	110	70	80	530	"/wiki/Blaziken_(Pok%C3%A9mon)"
0258	Mudkip	ˈmʌdkɪp	n/a	mizugorou	n/a	Gobou	n/a	Mudkip	n/a	Hydropi	n/a	Mudkip	n/a	Muljjangi	n/a	Shuǐyuèyú	n/a	{'Marshtomp'}	3	3a	False	False	[('Water',)]	16.8	7.6	16	0.4	87.5	12.5	50	70	50	50	50	40	310	"/wiki/Mudkip_(Pok%C3%A9mon)"
0259	Marshtomp	ˈmɑːɹʃtɑːmp	Mudkip	numakuroo	mizugorou	Flobio	Gobou	Marshtomp	Mudkip	Moorabbel	Hydropi	Marshtomp	Mudkip	Nupjjangi	Muljjangi	Zhǎoyuèyú	Shuǐyuèyú	{'Swampert'}	3	3b	False	False	[('Water', 'Ground')]	61.7	28.0	28	0.7	87.5	12.5	70	85	70	60	70	50	405	"/wiki/Marshtomp_(Pok%C3%A9mon)"
0260	Swampert	ˈswɑːmpɚt	Marshtomp	raguraaji	numakuroo	Laggron	Flobio	Swampert	Marshtomp	Sumpex	Moorabbel	Swampert	Marshtomp	Daejjangi	Nupjjangi	Jùzhǎoguài	Zhǎoyuèyú	n/a	3	3c	False	False	[('Water', 'Ground')]	180.6	81.9	59	1.5	87.5	12.5	100	110	90	85	90	60	535	"/wiki/Swampert_(Pok%C3%A9mon)"
0261	Poochyena	ˌpuːtʃiːˈjɛnə	n/a	pochiena	n/a	Medhyèna	n/a	Poochyena	n/a	Fiffyen	n/a	Poochyena	n/a	Pochana	n/a	Tǔlángquǎn	n/a	{'Mightyena'}	2	2a	False	False	[('Dark',)]	30.0	13.6	20	0.5	50.0	50.0	35	55	35	30	30	35	220	"/wiki/Poochyena_(Pok%C3%A9mon)"
0262	Mightyena	ˌmaɪtiːˈjɛnə	Poochyena	guraena	pochiena	Grahyèna	Medhyèna	Mightyena	Poochyena	Magnayen	Fiffyen	Mightyena	Poochyena	Guraeana	Pochana	Dàlángquǎn	Tǔlángquǎn	n/a	2	2b	False	False	[('Dark',)]	81.6	37.0	39	1.0	50.0	50.0	70	90	70	60	60	70	420	"/wiki/Mightyena_(Pok%C3%A9mon)"
0263	Zigzagoon	zɪɡzəˈɡuːn	n/a	jiguzaguma	n/a	Zigzaton	n/a	Zigzagoon	n/a	Zigzachs	n/a	Zigzagoon	n/a	Jigujaeguri	n/a	Shéwénxióng	n/a	{'Linoone'}	3	3a	False	False	[('Dark', 'Normal'), ('Normal',)]	38.6	17.5	16	0.4	50.0	50.0	38	30	41	30	41	60	240	"/wiki/Zigzagoon_(Pok%C3%A9mon)"
0264	Linoone	laɪˈnuːn	Zigzagoon	massuguma	jiguzaguma	Linéon	Zigzaton	Linoone	Zigzagoon	Geradaks	Zigzachs	Linoone	Zigzagoon	Jikguli	Jigujaeguri	Zhíchōngxióng	Shéwénxióng	{'Obstagoon'}	3	3b	False	False	[('Dark', 'Normal'), ('Normal',)]	71.7	32.5	20	0.5	50.0	50.0	78	70	61	50	61	100	420	"/wiki/Linoone_(Pok%C3%A9mon)"
0265	Wurmple	ˈwɝːmpəl	n/a	kemusso	n/a	Chenipotte	n/a	Wurmple	n/a	Waumpel	n/a	Wurmple	n/a	Gaemuso	n/a	Cìwěichóng	n/a	{'Silcoon', 'Cascoon'}	3	3a	False	False	[('Bug',)]	7.9	3.6	12	0.3	50.0	50.0	45	45	35	20	30	20	195	"/wiki/Wurmple_(Pok%C3%A9mon)"
0266	Silcoon	ˈsɪlkuːn	Wurmple	karasarisu	kemusso	Armulys	Chenipotte	Silcoon	Wurmple	Schaloko	Waumpel	Silcoon	Wurmple	Silcoon	Gaemuso	Jiǎkéjiǎn	Cìwěichóng	{'Beautifly'}	3	3b	False	False	[('Bug',)]	22.0	10.0	24	0.6	50.0	50.0	50	35	55	25	25	15	205	"/wiki/Silcoon_(Pok%C3%A9mon)"
0267	Beautifly	ˈbjuːtəflaɪ	Silcoon	agehanto	karasarisu	Charmillon	Armulys	Beautifly	Silcoon	Papinella	Schaloko	Beautifly	Silcoon	Beautifly	Silcoon	Shòulièfèngdié	Jiǎkéjiǎn	n/a	3	3c	False	False	[('Bug', 'Flying')]	62.6	28.4	39	1.0	50.0	50.0	60	70	50	90	50	65	385	"/wiki/Beautifly_(Pok%C3%A9mon)"
0268	Cascoon	ˈkæskuːn	Wurmple	mayurudo	kemusso	Blindalys	Chenipotte	Cascoon	Wurmple	Panekon	Waumpel	Cascoon	Wurmple	Cascoon	Gaemuso	Dùnjiǎjiǎn	Cìwěichóng	{'Dustox'}	3	3b	False	False	[('Bug',)]	25.4	11.5	28	0.7	50.0	50.0	50	35	55	25	25	15	205	"/wiki/Cascoon_(Pok%C3%A9mon)"
0269	Dustox	ˈdʌstɑːks	Cascoon	dokukeiru	mayurudo	Papinox	Blindalys	Dustox	Cascoon	Pudox	Panekon	Dustox	Cascoon	Dokkeil	Cascoon	Dúfěn'é	Dùnjiǎjiǎn	n/a	3	3c	False	False	[('Bug', 'Poison')]	69.7	31.6	47	1.2	50.0	50.0	60	50	70	50	90	65	385	"/wiki/Dustox_(Pok%C3%A9mon)"
0270	Lotad	ˈloʊtæd	n/a	hasuboo	n/a	Nénupiot	n/a	Lotad	n/a	Loturzel	n/a	Lotad	n/a	Yeonkkotmon	n/a	Liányètóngzǐ	n/a	{'Lombre'}	3	3a	False	False	[('Water', 'Grass')]	5.7	2.6	20	0.5	50.0	50.0	40	30	30	40	50	30	220	"/wiki/Lotad_(Pok%C3%A9mon)"
0271	Lombre	ˈlɑːmbɹeɪ	Lotad	hasuburero	hasuboo	Lombre	Nénupiot	Lombre	Lotad	Lombrero	Loturzel	Lombre	Lotad	Rotosu	Yeonkkotmon	Liánmàoxiǎotóng	Liányètóngzǐ	{'Ludicolo'}	3	3b	False	False	[('Water', 'Grass')]	71.7	32.5	47	1.2	50.0	50.0	60	50	50	60	70	50	340	"/wiki/Lombre_(Pok%C3%A9mon)"
0272	Ludicolo	ˌluːdiːˈkoʊloʊ	Lombre	runpappa	hasuburero	Ludicolo	Lombre	Ludicolo	Lombre	Kappalores	Lombrero	Ludicolo	Lombre	Ropapa	Rotosu	Lètiānhétóng	Liánmàoxiǎotóng	n/a	3	3c	False	False	[('Water', 'Grass')]	121.3	55.0	59	1.5	50.0	50.0	80	70	70	90	100	70	480	"/wiki/Ludicolo_(Pok%C3%A9mon)"
0273	Seedot	ˈsiːdɑːt	n/a	taneboo	n/a	Grainipiot	n/a	Seedot	n/a	Samurzel	n/a	Seedot	n/a	Dotoring	n/a	Xiàngshíguǒ	n/a	{'Nuzleaf'}	3	3a	False	False	[('Grass',)]	8.8	4.0	20	0.5	50.0	50.0	40	40	50	30	30	30	220	"/wiki/Seedot_(Pok%C3%A9mon)"
0274	Nuzleaf	ˈnʌzliːf	Seedot	konohana	taneboo	Pifeuil	Grainipiot	Nuzleaf	Seedot	Blanas	Samurzel	Nuzleaf	Seedot	Ipseko	Dotoring	Chángbíyè	Xiàngshíguǒ	{'Shiftry'}	3	3b	False	False	[('Grass', 'Dark')]	61.7	28.0	39	1.0	50.0	50.0	70	70	40	60	40	60	340	"/wiki/Nuzleaf_(Pok%C3%A9mon)"
0275	Shiftry	ˈʃɪftɹiː	Nuzleaf	daatengu	konohana	Tengalice	Pifeuil	Shiftry	Nuzleaf	Tengulist	Blanas	Shiftry	Nuzleaf	Datenggu	Ipseko	Jiǎohuátiāngǒu	Chángbíyè	n/a	3	3c	False	False	[('Grass', 'Dark')]	131.4	59.6	51	1.3	50.0	50.0	90	100	60	90	60	80	480	"/wiki/Shiftry_(Pok%C3%A9mon)"
0276	Taillow	ˈteɪloʊ	n/a	subame	n/a	Nirondelle	n/a	Taillow	n/a	Schwalbini	n/a	Taillow	n/a	Tailow	n/a	Àogǔyàn	n/a	{'Swellow'}	2	2a	False	False	[('Normal', 'Flying')]	5.1	2.3	12	0.3	50.0	50.0	40	55	30	30	30	85	270	"/wiki/Taillow_(Pok%C3%A9mon)"
0277	Swellow	ˈswɛloʊ	Taillow	oosubame	subame	Hélédelle	Nirondelle	Swellow	Taillow	Schwalboss	Schwalbini	Swellow	Taillow	Swalow	Tailow	Dàwángyàn	Àogǔyàn	n/a	2	2b	False	False	[('Normal', 'Flying')]	43.7	19.8	28	0.7	50.0	50.0	60	85	60	50	50	125	430	"/wiki/Swellow_(Pok%C3%A9mon)"
0278	Wingull	ˈwɪŋɡəl	n/a	kyamome	n/a	Goélise	n/a	Wingull	n/a	Wingull	n/a	Wingull	n/a	Galmomae	n/a	Chángchì'ōu	n/a	{'Pelipper'}	2	2a	False	False	[('Water', 'Flying')]	20.9	9.5	24	0.6	50.0	50.0	40	30	30	55	30	85	270	"/wiki/Wingull_(Pok%C3%A9mon)"
0279	Pelipper	ˈpɛlɪpɚ	Wingull	perippaa	kyamome	Bekipan	Goélise	Pelipper	Wingull	Pelipper	Wingull	Pelipper	Wingull	Pelipper	Galmomae	Dàzuǐ'ōu	Chángchì'ōu	n/a	2	2b	False	False	[('Water', 'Flying')]	61.7	28.0	47	1.2	50.0	50.0	60	50	100	85	70	65	430	"/wiki/Pelipper_(Pok%C3%A9mon)"
0280	Ralts	ˈɹɑːlts	n/a	rarutosu	n/a	Tarsal	n/a	Ralts	n/a	Trasla	n/a	Ralts	n/a	Raltos	n/a	Lālǔlāsī	n/a	{'Kirlia'}	3	3a	False	False	[('Psychic', 'Fairy')]	14.6	6.6	16	0.4	50.0	50.0	28	25	25	45	35	40	198	"/wiki/Ralts_(Pok%C3%A9mon)"
0281	Kirlia	ˈkɝːliːə	Ralts	kiruria	rarutosu	Kirlia	Tarsal	Kirlia	Ralts	Kirlia	Trasla	Kirlia	Ralts	Kirlia	Raltos	Qílǔlì'ān	Lālǔlāsī	{'Gardevoir', 'Gallade'}	3	3b	False	False	[('Psychic', 'Fairy')]	44.5	20.2	31	0.8	50.0	50.0	38	35	35	65	55	50	278	"/wiki/Kirlia_(Pok%C3%A9mon)"
0282	Gardevoir	ˈɡɑːɹdəvwɑːɹ	Kirlia	saanaito	kiruria	Gardevoir	Kirlia	Gardevoir	Kirlia	Guardevoir	Kirlia	Gardevoir	Kirlia	Gadian	Kirlia	Shānàiduǒ	Qílǔlì'ān	n/a	3	3c	False	False	[('Psychic', 'Fairy')]	106.7	48.4	63	1.6	50.0	50.0	68	65	65	125	115	80	518	"/wiki/Gardevoir_(Pok%C3%A9mon)"
0283	Surskit	ˈsɝːskɪt	n/a	ametama	n/a	Arakdo	n/a	Surskit	n/a	Gehweiher	n/a	Surskit	n/a	Bigusul	n/a	Liūliūtángqiú	n/a	{'Masquerain'}	2	2a	False	False	[('Bug', 'Water')]	3.7	1.7	20	0.5	50.0	50.0	40	30	32	50	52	65	269	"/wiki/Surskit_(Pok%C3%A9mon)"
0284	Masquerain	mæskɚˈeɪn	Surskit	amemoosu	ametama	Maskadra	Arakdo	Masquerain	Surskit	Maskeregen	Gehweiher	Masquerain	Surskit	Binabang	Bigusul	Yǔchì'é	Liūliūtángqiú	n/a	2	2b	False	False	[('Bug', 'Flying')]	7.9	3.6	31	0.8	50.0	50.0	70	60	62	80	82	60	414	"/wiki/Masquerain_(Pok%C3%A9mon)"
0285	Shroomish	ˈʃɹuːmɪʃ	n/a	kinokoko	n/a	Balignon	n/a	Shroomish	n/a	Knilz	n/a	Shroomish	n/a	Bosotkko	n/a	Mómógu	n/a	{'Breloom'}	2	2a	False	False	[('Grass',)]	9.9	4.5	16	0.4	50.0	50.0	60	40	60	40	60	35	295	"/wiki/Shroomish_(Pok%C3%A9mon)"
0286	Breloom	ˈbɹɛluːm	Shroomish	kinogassa	kinokoko	Chapignon	Balignon	Breloom	Shroomish	Kapilz	Knilz	Breloom	Shroomish	Bosotmo	Bosotkko	Dǒulìgū	Mómógu	n/a	2	2b	False	False	[('Grass', 'Fighting')]	86.4	39.2	47	1.2	50.0	50.0	60	130	80	60	60	70	460	"/wiki/Breloom_(Pok%C3%A9mon)"
0287	Slakoth	ˈslækɑːθ	n/a	namakero	n/a	Parecool	n/a	Slakoth	n/a	Bummelz	n/a	Slakoth	n/a	Geulro	n/a	Lǎnréntà / Lǎnréntǎ	n/a	{'Vigoroth'}	3	3a	False	False	[('Normal',)]	52.9	24.0	31	0.8	50.0	50.0	60	60	60	35	35	30	280	"/wiki/Slakoth_(Pok%C3%A9mon)"
0288	Vigoroth	ˈvɪɡɚɑːθ	Slakoth	yarukimono	namakero	Vigoroth	Parecool	Vigoroth	Slakoth	Muntier	Bummelz	Vigoroth	Slakoth	Balbaro	Geulro	Guòdòngyuán	Lǎnréntà / Lǎnréntǎ	{'Slaking'}	3	3b	False	False	[('Normal',)]	102.5	46.5	55	1.4	50.0	50.0	80	80	80	55	55	90	440	"/wiki/Vigoroth_(Pok%C3%A9mon)"
0289	Slaking	ˈslækɪŋ	Vigoroth	kekkingu	yarukimono	Monaflèmit	Vigoroth	Slaking	Vigoroth	Letarking	Muntier	Slaking	Vigoroth	Geulking	Balbaro	Qǐngjiàwáng	Guòdòngyuán	n/a	3	3c	False	False	[('Normal',)]	287.7	130.5	79	2.0	50.0	50.0	150	160	100	95	65	100	670	"/wiki/Slaking_(Pok%C3%A9mon)"
0290	Nincada	nɪnˈkɑːdə	n/a	tsuchinin	n/a	Ningale	n/a	Nincada	n/a	Nincada	n/a	Nincada	n/a	Tojungmon	n/a	Tǔjūrěnshì	n/a	{'Ninjask'}	2	2a	False	False	[('Bug', 'Ground')]	12.1	5.5	20	0.5	50.0	50.0	31	45	90	30	30	40	266	"/wiki/Nincada_(Pok%C3%A9mon)"
